"源节点ID","目标节点ID","关系类型","空间键","空间名称","证据","权重"
"page:14533659","page:33065150","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 3、电路开发室(杨东) / 3、电路常用表格/流程","1"
"page:33065150","topic:规范与流程","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","3、电路常用表格/流程","1"
"page:14533659","page:17045732","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 3、电路开发室(杨东) / 4、画质相关","1"
"page:17045732","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","4、画质相关","1"
"page:14533659","page:65175951","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 3、电路开发室(杨东) / 5、各市场开发规范和要求","1"
"page:65175951","topic:规范与流程","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","5、各市场开发规范和要求","1"
"page:14533659","page:40044525","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 3、电路开发室(杨东) / 6、大客户/ODM项目要求","1"
"page:40044525","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","6、大客户/ODM项目要求","1"
"page:14533659","page:46796968","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 3、电路开发室(杨东) / 7、板卡/线材/扬声器/组件等物料明细","1"
"page:46796968","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","7、板卡/线材/扬声器/组件等物料明细","1"
"page:14533659","page:51482197","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 3、电路开发室(杨东) / 8、订单互检轮值表","1"
"page:51482197","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","8、订单互检轮值表","1"
"page:14533659","page:98601185","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 3、电路开发室(杨东) / 9、软件相关注意事项","1"
"page:98601185","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","9、软件相关注意事项","1"
"page:13716871","page:14726741","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室","1"
"page:14726741","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","4、电视结构开发室","1"
"page:14726741","page:221861189","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 10、任职资格实操考试","1"
"page:221861189","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","10、任职资格实操考试","1"
"page:14726741","page:25986490","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 1、部门周报","1"
"page:25986490","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","1、部门周报","1"
"page:14726741","page:14722042","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 1、项目/任务","1"
"page:14722042","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","1、项目/任务","1"
"page:14726741","page:15565968","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 2、工作思路","1"
"page:15565968","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2、工作思路","1"
"page:14726741","page:15567171","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 2、知识库","1"
"page:15567171","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2、知识库","1"
"page:14726741","page:20188628","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 3、基础工作","1"
"page:20188628","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","3、基础工作","1"
"page:14726741","page:19106335","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 4、经验共享及内部培训","1"
"page:19106335","topic:培训与知识","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","4、经验共享及内部培训","1"
"page:14726741","page:17796788","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 5、ODM/OEM委外结构注意事项","1"
"page:17796788","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","5、ODM/OEM委外结构注意事项","1"
"page:14726741","page:23430844","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 5、ODM、OEM标准","1"
"page:23430844","topic:规范与流程","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","5、ODM、OEM标准","1"
"page:14726741","page:120527544","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 6、流程文件","1"
"page:120527544","topic:规范与流程","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","6、流程文件","1"
"page:14726741","page:203823281","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 7、出差报告","1"
"page:203823281","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","7、出差报告","1"
"page:14726741","page:204755332","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 8、培训资料","1"
"page:204755332","topic:培训与知识","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","8、培训资料","1"
"page:14726741","page:94474814","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 4、电视结构开发室 / 9、手板编号","1"
"page:94474814","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","9、手板编号","1"
"page:13716871","page:14726776","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 5、显示开发室（刘良云）","1"
"page:14726776","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","5、显示开发室（刘良云）","1"
"page:14726776","page:48828704","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 5、显示开发室（刘良云） / 1、常用模板","1"
"page:48828704","topic:规范与流程","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","1、常用模板","1"
"page:14726776","page:15567175","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 5、显示开发室（刘良云） / 2、显示调研报告","1"
"page:15567175","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2、显示调研报告","1"
"page:14726776","page:15567178","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 5、显示开发室（刘良云） / 3、模组雷区总结","1"
"page:15567178","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","3、模组雷区总结","1"
"page:14726776","page:14819101","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 5、显示开发室（刘良云） / 4、模组培训内容","1"
"page:14819101","topic:培训与知识","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","4、模组培训内容","1"
"page:13716871","page:29852134","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 6、质量改善","1"
"page:29852134","topic:数据与质量","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","6、质量改善","1"
"page:29852134","page:29852139","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 6、质量改善 / 1、质量改善措施跟进","1"
"page:29852139","topic:问题与复盘","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","1、质量改善措施跟进","1"
"page:29852134","page:154928103","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 6、质量改善 / 2、质量事件“四不放过”汇总","1"
"page:154928103","topic:数据与质量","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2、质量事件“四不放过”汇总","1"
"page:29852134","page:168922461","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 6、质量改善 / 3、江门试制问题跟进及反馈","1"
"page:168922461","topic:问题与复盘","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","3、江门试制问题跟进及反馈","1"
"page:29852134","page:14836446","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 6、质量改善 / 4、质量案例宣贯","1"
"page:14836446","topic:数据与质量","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","4、质量案例宣贯","1"
"page:13716871","page:14533662","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 7、培训提升","1"
"page:14533662","topic:培训与知识","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","7、培训提升","1"
"page:14533662","page:217349100","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 7、培训提升 / 培训记录--小礼品发放人员","1"
"page:217349100","topic:培训与知识","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","培训记录--小礼品发放人员","1"
"page:14533662","page:14538907","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 7、培训提升 / 培训资料","1"
"page:14538907","topic:培训与知识","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","培训资料","1"
"page:13716871","page:15571723","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 8、创新提案","1"
"page:15571723","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","8、创新提案","1"
"page:15571723","page:15573046","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 8、创新提案 / 16年创新提案","1"
"page:15573046","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","16年创新提案","1"
"page:15571723","page:15573058","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 8、创新提案 / 17年创新提案","1"
"page:15573058","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","17年创新提案","1"
"page:15571723","page:38176741","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 8、创新提案 / 18年创新提案","1"
"page:38176741","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","18年创新提案","1"
"page:15571723","page:15574348","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 8、创新提案 / 以往获奖创新提案","1"
"page:15574348","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","以往获奖创新提案","1"
"page:13716871","page:15571725","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 9、发明专利","1"
"page:15571725","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","9、发明专利","1"
"page:15571725","page:15591407","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 9、发明专利 / 16年专利提交","1"
"page:15591407","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","16年专利提交","1"
"page:15571725","page:15591410","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 9、发明专利 / 17年专利提交","1"
"page:15591410","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","17年专利提交","1"
"page:15571725","page:15591415","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 9、发明专利 / 17年专利申请任务分配表","1"
"page:15591415","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","17年专利申请任务分配表","1"
"page:15571725","page:15591404","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 9、发明专利 / 专利模板","1"
"page:15591404","topic:规范与流程","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","专利模板","1"
"page:13716871","page:139069849","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、样机管理（项目+市场）","1"
"page:139069849","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","10、样机管理（项目+市场）","1"
"page:139069849","page:15761902","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、样机管理（项目+市场） / 1、样机管理（市场）","1"
"page:15761902","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","1、样机管理（市场）","1"
"page:139069849","page:139069869","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、样机管理（项目+市场） / 2、项目样机管理","1"
"page:139069869","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2、项目样机管理","1"
"page:13716871","page:139069917","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 11、5S管理","1"
"page:139069917","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","11、5S管理","1"
"page:13716871","page:13721220","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬)","1"
"page:13721220","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","12、团队建设(彭芬)","1"
"page:13721220","page:13721259","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 2017踏春活动方案","1"
"page:13721259","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2017踏春活动方案","1"
"page:13721220","page:14825325","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 2017年7月1日 香港烟花汇演攻略","1"
"page:14825325","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2017年7月1日 香港烟花汇演攻略","1"
"page:13721220","page:15576265","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 2017 电视开发所第三季度活动","1"
"page:15576265","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2017 电视开发所第三季度活动","1"
"page:13721220","page:15589163","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 电视开发所员工生日会礼品券领取登记表","1"
"page:15589163","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","电视开发所员工生日会礼品券领取登记表","1"
"page:13721220","page:31131034","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 2018  9月 部门活动计划","1"
"page:31131034","topic:版本与计划","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2018  9月 部门活动计划","1"
"page:13721220","page:46795668","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 茶歇购买记录","1"
"page:46795668","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","茶歇购买记录","1"
"page:13721220","page:70783231","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 凤凰山一日游","1"
"page:70783231","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","凤凰山一日游","1"
"page:13721220","page:19108606","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 阳朔春之行-照片","1"
"page:19108606","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","阳朔春之行-照片","1"
"page:13721220","page:14519483","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 活动内容","1"
"page:14519483","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","活动内容","1"
"page:13721220","page:139072503","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 2021惠州富力南昆山温泉养生谷","1"
"page:139072503","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2021惠州富力南昆山温泉养生谷","1"
"page:13721220","page:139072517","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 2020年终自选小礼物","1"
"page:139072517","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2020年终自选小礼物","1"
"page:13721220","page:139072546","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 12、团队建设(彭芬) / 视像科技2021年“慈善一日捐”","1"
"page:139072546","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","视像科技2021年“慈善一日捐”","1"
"page:13716871","page:19661241","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 13、青岛、深圳、江门三地管理","1"
"page:19661241","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","13、青岛、深圳、江门三地管理","1"
"page:19661241","page:19661243","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 13、青岛、深圳、江门三地管理 / Confluence两地同步","1"
"page:19661243","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","Confluence两地同步","1"
"page:13716871","page:15576372","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 14、信息收集及相关报告（包括出差报告）","1"
"page:15576372","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","14、信息收集及相关报告（包括出差报告）","1"
"page:15576372","page:46106488","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 14、信息收集及相关报告（包括出差报告） / 1、广州、深圳相关展会信息","1"
"page:46106488","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","1、广州、深圳相关展会信息","1"
"page:15576372","page:46106499","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 14、信息收集及相关报告（包括出差报告） / 2、相关报告（包括出差报告）","1"
"page:46106499","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2、相关报告（包括出差报告）","1"
"page:13716871","page:29229388","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 15、深研项目预研","1"
"page:29229388","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","15、深研项目预研","1"
"page:29229388","page:59443831","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 15、深研项目预研 / 1、调研计划","1"
"page:59443831","topic:版本与计划","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","1、调研计划","1"
"page:29229388","page:186138292","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 15、深研项目预研 / 2、调研总结","1"
"page:186138292","topic:项目管理","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","2、调研总结","1"
"page:13716871","page:216387041","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 16、休假登记（用于人工时统计）","1"
"page:216387041","topic:数据与质量","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","16、休假登记（用于人工时统计）","1"
"page:13716871","page:229108137","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 17、面板损坏记录","1"
"page:229108137","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","17、面板损坏记录","1"
"page:13716871","page:328522831","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 18、周末加班登记说明","1"
"page:328522831","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","18、周末加班登记说明","1"
"page:13716871","page:14722031","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳）","1"
"page:14722031","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","10、平面设计（杨芳）","1"
"page:14722031","page:27918922","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 01. 变更过程管理(2024~)","1"
"page:27918922","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","01. 变更过程管理(2024~)","1"
"page:14722031","page:20808379","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 02. 任务单(2025)","1"
"page:20808379","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","02. 任务单(2025)","1"
"page:14722031","page:15569150","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 03. 产品线用户文档项目(2026~)","1"
"page:15569150","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","03. 产品线用户文档项目(2026~)","1"
"page:14722031","page:15569219","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 04. 产品线存放箱项目(2025)","1"
"page:15569219","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","04. 产品线存放箱项目(2025)","1"
"page:14722031","page:77138519","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 05. Roku 印刷品明细(2024)","1"
"page:77138519","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","05. Roku 印刷品明细(2024)","1"
"page:14722031","page:145721662","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 06. 平面常用规范","1"
"page:145721662","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","06. 平面常用规范","1"
"page:14722031","page:222310730","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 07. 产品线分工","1"
"page:222310730","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","07. 产品线分工","1"
"page:14722031","page:224680150","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 08. 2024年培训点检","1"
"page:224680150","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","08. 2024年培训点检","1"
"page:14722031","page:224680328","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 09. 印刷品模板更新维护记录","1"
"page:224680328","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","09. 印刷品模板更新维护记录","1"
"page:14722031","page:226952426","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 10、平面设计（杨芳） / 10. 提效降本通用化","1"
"page:226952426","topic:设计与架构","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","10. 提效降本通用化","1"
"page:13716871","page:243904068","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 5、各专业雷区","1"
"page:243904068","topic:其他","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","5、各专业雷区","1"
"page:13716871","page:139069731","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱）","1"
"page:139069731","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","深圳研发中心 电视交付测试室（吴国柱）","1"
"page:139069731","page:176305659","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱） / 00_科室简介","1"
"page:176305659","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","00_科室简介","1"
"page:139069731","page:176312423","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱） / 01_新员工入职指引","1"
"page:176312423","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","01_新员工入职指引","1"
"page:139069731","page:176306588","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱） / 02_基础管理工作要求","1"
"page:176306588","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","02_基础管理工作要求","1"
"page:139069731","page:141074010","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱） / 03_任职资格及职衔晋升","1"
"page:141074010","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","03_任职资格及职衔晋升","1"
"page:139069731","page:136914359","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱） / 04_周会纪要及重点任务完成情况","1"
"page:136914359","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","04_周会纪要及重点任务完成情况","1"
"page:139069731","page:159616993","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱） / 05_LIT业务","1"
"page:159616993","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","05_LIT业务","1"
"page:139069731","page:160370469","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱） / 06_SIT业务","1"
"page:160370469","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","06_SIT业务","1"
"page:139069731","page:160370456","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱） / 08_硬件测试业务","1"
"page:160370456","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","08_硬件测试业务","1"
"page:139069731","page:164083586","包含目录","DZKJDSHWKF","产品线运营中心深圳研发部","产品线深圳研发中心电视开发所 主页 / 深圳研发中心 电视交付测试室（吴国柱） / 09_知识分享&培训","1"
"page:164083586","topic:测试与验证","推断主题","DZKJDSHWKF","产品线运营中心深圳研发部","09_知识分享&培训","1"
