"Key","Name","Category","ProjectType","Lead","Url"
"ANDROIDTVGINGAD","AndroidTV Ginga-D关键技术研究","系统和OS平台","software",,"http://tvjira.hisense.com/projects/ANDROIDTVGINGAD"
"ANDROIDMIRACASTDLTP","AndroidTV Miracast多路投屏技术研究 ","系统和OS平台","software",,"http://tvjira.hisense.com/projects/ANDROIDMIRACASTDLTP"
"ANDROIDMUTI","Android多场景性能优化","系统和OS平台","software",,"http://tvjira.hisense.com/projects/ANDROIDMUTI"
"ANDROIDDMTBFCSTJ","Android多媒体播放器测试套件","MTK平台其他","software",,"http://tvjira.hisense.com/projects/ANDROIDDMTBFCSTJ"
"MEDIAPLAYERFRAME","Android应用多媒体公共播控框架技术研究","系统和OS平台","software",,"http://tvjira.hisense.com/projects/MEDIAPLAYERFRAME"
"ANDROIDBROWSERSET","android浏览器setting功能","系统和OS平台","software",,"http://tvjira.hisense.com/projects/ANDROIDBROWSERSET"
"NPSPERF","Android系统综合体验提升项目","系统和OS平台","software",,"http://tvjira.hisense.com/projects/NPSPERF"
"ANS16AMLA311D2","ANS16AMLA311D2","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/ANS16AMLA311D2"
"ARM3","AR-M3分体眼镜","其他","software",,"http://tvjira.hisense.com/projects/ARM3"
"ARTMODECBB","ArtMode_CBB","其他","software",,"http://tvjira.hisense.com/projects/ARTMODECBB"
"ATSC3TOOLS","ATSC 3.0码流分析和编辑工具预研","工具流程管理","software",,"http://tvjira.hisense.com/projects/ATSC3TOOLS"
"ATSC32024","ATSC3.0 2024新需求新特性开发","其他","software",,"http://tvjira.hisense.com/projects/ATSC32024"
"DTVATSC30","ATSC3.0 二期技术预研","应用和多媒体","software",,"http://tvjira.hisense.com/projects/DTVATSC30"
"ATSC3JH","ATSC3.0交互应用预研","其他","software",,"http://tvjira.hisense.com/projects/ATSC3JH"
"AUTOTESTPROJ","AutoTest系统整合项目","测试质量和自动化","software",,"http://tvjira.hisense.com/projects/AUTOTESTPROJ"
"B2BRJLC","B2B软件量产后问题管理","其他","software",,"http://tvjira.hisense.com/projects/B2BRJLC"
"BL704L10Q2IR","BL704L-10-Q2IR","其他","software",,"http://tvjira.hisense.com/projects/BL704L10Q2IR"
"BUGREPORTSERVICE","BugreportService","其他","software",,"http://tvjira.hisense.com/projects/BUGREPORTSERVICE"
"CBBRECENT","Cbb_Recent","其他","software",,"http://tvjira.hisense.com/projects/CBBRECENT"
"CH32V203","CH32V203","其他","software",,"http://tvjira.hisense.com/projects/CH32V203"
"CS53P90","CS53P90","其他","software",,"http://tvjira.hisense.com/projects/CS53P90"
"CS98P169AGO","CS98P169AGO","其他","software",,"http://tvjira.hisense.com/projects/CS98P169AGO"
"DATACOLLECTION","DataCollection预研项目","其他","software",,"http://tvjira.hisense.com/projects/DATACOLLECTION"
"DLNA","DLNA架构及性能优化项目","其他","software",,"http://tvjira.hisense.com/projects/DLNA"
"DBJPZNTV","Driver Based日本智能电视预研项目","产品项目","software",,"http://tvjira.hisense.com/projects/DBJPZNTV"
"DRIVERBASEFVP","DRIVERBASE-FVP预研项目","其他","software",,"http://tvjira.hisense.com/projects/DRIVERBASEFVP"
"DB1GSOLUTION","DriverBased 1G solution预研项目","其他","software",,"http://tvjira.hisense.com/projects/DB1GSOLUTION"
"DSMKF","DSMKF","其他","software",,"http://tvjira.hisense.com/projects/DSMKF"
"DTSPLAYFI2","DTSPlay-Fi认证二期需求","其他","software",,"http://tvjira.hisense.com/projects/DTSPLAYFI2"
"DTVMETADATA","DTV-MetaData快速搜索研究","应用和多媒体","software",,"http://tvjira.hisense.com/projects/DTVMETADATA"
"DTVFITESTAUTO","DTV功能集成测试自动化预研项目","测试质量和自动化","software",,"http://tvjira.hisense.com/projects/DTVFITESTAUTO"
"DTVMARKET","DTV市场问题跟踪","应用和多媒体","software",,"http://tvjira.hisense.com/projects/DTVMARKET"
"DTVTEST2","DTV自动化测试工具二期","测试质量和自动化","software",,"http://tvjira.hisense.com/projects/DTVTEST2"
"DVBI2","DVB-I数字电视协议栈二期预研","其他","software",,"http://tvjira.hisense.com/projects/DVBI2"
"DVBI","DVB-I数字电视协议栈预研","其他","software",,"http://tvjira.hisense.com/projects/DVBI"
"EMMCSECUREWRITE","eMMC安全写入管控方案实施项目","其他","software",,"http://tvjira.hisense.com/projects/EMMCSECUREWRITE"
"ESP32","ESP32","其他","software",,"http://tvjira.hisense.com/projects/ESP32"
"EXTERNALDEVICEDRIVER","ExternalDeviceDriver_CBB","其他","software",,"http://tvjira.hisense.com/projects/EXTERNALDEVICEDRIVER"
"FRAMEARTCBB","FrameArt","其他","software",,"http://tvjira.hisense.com/projects/FRAMEARTCBB"
"FVP2018","FVP2018预研项目","其他","software",,"http://tvjira.hisense.com/projects/FVP2018"
"GC","GC","其他","software",,"http://tvjira.hisense.com/projects/GC"
"GOOGDUOCBB","GoogleDuo_CBB","系统和OS平台","software",,"http://tvjira.hisense.com/projects/GOOGDUOCBB"
"GOOGLESTADIA","GoogleStadia_CBB","系统和OS平台","software",,"http://tvjira.hisense.com/projects/GOOGLESTADIA"
"GSTREAMER","GStreamer播放器的多平台通用化和功能扩展","其他","software",,"http://tvjira.hisense.com/projects/GSTREAMER"
"GSTREAMERCBB","GStreamer自研播放器","其他","software",,"http://tvjira.hisense.com/projects/GSTREAMERCBB"
