"Id","Name","Custom","Orderable","Searchable","ClauseNames","SchemaType","SchemaCustom"
"customfield_23403","是否已完成目标值分解","True","True","True","cf[23403]|是否已完成目标值分解","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_19500","前置条件","True","True","True","cf[19500]|前置条件","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_17201","【是否需要OTA】","True","True","True","cf[17201]|【是否需要OTA】","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"timetracking","时间跟踪","False","True","True","","timetracking",
"customfield_10800","执行率(%)","True","True","True","cf[10800]|执行率(%)","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"customfield_10804","MTK5655-K220的机型","True","True","True","cf[10804]|MTK5655-K220的机型","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_10805","MT5657B-K321的机型","True","True","True","cf[10805]|MT5657B-K321的机型","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_10806","MT5652NHOI-K380的机型","True","True","True","cf[10806]|MT5652NHOI-K380的机型","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_10807","MTK5329-XT910的机型","True","True","True","cf[10807]|MTK5329-XT910的机型","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_22901","模块/子流水线ID","True","True","True","cf[22901]|模块/子流水线ID","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_10809","MTK5508-K690U的机型","True","True","True","cf[10809]|MTK5508-K690U的机型","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_22900","流水线记录ID","True","True","True","cf[22900]|流水线记录ID","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_20600","非整机项目","True","True","True","cf[20600]|非整机项目","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_24500","横向枚举场景","True","True","True","cf[24500]|横向枚举场景","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_26801","引入Patch的Reviewer","True","True","True","cf[26801]|引入Patch的Reviewer","array","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker"
"customfield_26800","引入人","True","True","True","cf[26800]|引入人","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"customfield_26803","Committed component","True","True","True","cf[26803]|Committed component","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_18400","问题经办人","True","True","True","cf[18400]|问题经办人","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"customfield_16100","第三方进展","True","True","True","cf[16100]|第三方进展","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"environment","环境","False","True","True","environment","string",
"duedate","到期日","False","True","True","due|duedate","date",
"customfield_21803","系统设计评审JIRA任务ID","True","True","True","cf[21803]|系统设计评审JIRA任务ID","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_21802","系统设计文档地址","True","True","True","cf[21802]|系统设计文档地址","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_21801","模块设计评审JIRA任务ID","True","True","True","cf[21801]|模块设计评审JIRA任务ID","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_21800","模块设计文档地址","True","True","True","cf[21800]|模块设计文档地址","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_25600","最新进展","True","True","True","cf[25600]|最新进展","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_27900","templateText","True","True","True","cf[27900]|templateText","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_23300","静态代码工具","True","True","True","cf[23300]|静态代码工具","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_10110","电视销售类型","True","True","True","cf[10110]|电视销售类型","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_15800","变更原因","True","True","True","cf[15800]|变更原因","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_13500","客户角色+旅程","True","True","True","cf[13500]|客户角色+旅程","option-with-child","com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect"
"customfield_10111","电路设计人员","True","True","True","cf[10111]|电路设计人员","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_11200","通知人","True","True","True","cf[11200]|通知人","array","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker"
"customfield_15801","是否已经过线下评估","True","True","True","cf[15801]|是否已经过线下评估","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"customfield_11201","概率说明","True","True","True","cf[11201]|概率说明","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_10112","白班还是夜班","True","True","True","cf[10112]|白班还是夜班","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_10113","结构设计人员","True","True","True","cf[10113]|结构设计人员","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_11202","问题发现阶段+来源","True","True","True","cf[11202]|问题发现阶段+来源","option-with-child","com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect"
"customfield_13501","审批标识","True","True","True","cf[13501]|审批标识","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_10114","软件版本号","True","True","True","cf[10114]|软件版本号","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_10105","彻底解决方案","True","True","True","cf[10105]|彻底解决方案","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_10106","期望解决日期","True","True","True","cf[10106]|期望解决日期","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"customfield_14702","自测记录","True","True","True","cf[14702]|自测记录","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_10109","生产影响项","True","True","True","cf[10109]|生产影响项","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_22200","代码服务器","True","True","True","cf[22200]|代码服务器","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_10100","BOM号","True","True","True","BOM号|cf[10100]","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_12400","共性问题确认时间","True","True","True","cf[12400]|共性问题确认时间","datetime","com.atlassian.jira.plugin.system.customfieldtypes:datetime"
"customfield_14700","影响范围分析","True","True","True","cf[14700]|影响范围分析","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_10101","临时解决措施","True","True","True","cf[10101]|临时解决措施","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_14701","自测是否通过","True","True","True","cf[14701]|自测是否通过","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_10102","原型机/派生机选择","True","True","True","cf[10102]|原型机/派生机选择","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_10103","受影响的KPI指标-软件","True","True","True","cf[10103]|受影响的KPI指标-软件","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"timeestimate","剩余时间","False","False","False","remainingEstimate|timeestimate","number",
"customfield_27000","测试主管","True","True","True","cf[27000]|测试主管","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"status","状态","False","False","True","status","status",
"customfield_21102","审批人员","True","True","True","cf[21102]|审批人员","array","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker"
"customfield_21101","项目难度","True","True","True","cf[21101]|项目难度","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_21100","原型机项目Key","True","True","True","cf[21100]|原型机项目Key","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_11300","计划完成时间","True","True","True","cf[11300]|计划完成时间","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"customfield_15900","风险严重度","True","True","True","cf[15900]|风险严重度","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_11302","issueFunction","True","True","True","cf[11302]|issueFunction","any","com.onresolve.jira.groovy.groovyrunner:jqlFunctionsCustomFieldType"
"customfield_13600","是否已录入共性问题库","True","True","True","cf[13600]|是否已录入共性问题库","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_12502","解决方式","True","True","True","cf[12502]|解决方式","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_14802","措施落地实施时间","True","True","True","cf[14802]|措施落地实施时间","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"aggregatetimeestimate","Σ 预估剩余时间","False","False","False","","number",
"customfield_20006","软件规格符合率(%)","True","True","True","cf[20006]|软件规格符合率(%)","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"customfield_20007","软件规格实现测试通过率(%)","True","True","True","cf[20007]|软件规格实现测试通过率(%)","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"customfield_20004","分管领导","True","True","True","cf[20004]|分管领导","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"customfield_20005","测试部门长","True","True","True","cf[20005]|测试部门长","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"customfield_20002","所长","True","True","True","cf[20002]|所长","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"customfield_20003","软件部门长","True","True","True","cf[20003]|软件部门长","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"creator","创建者","False","False","True","creator","user",
"customfield_22300","第二审核人","True","True","True","cf[22300]|第二审核人","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"customfield_20001","室主任","True","True","True","cf[20001]|室主任","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"customfield_10200","【推荐优先级】Priority recommended","True","True","True","cf[10200]|【推荐优先级】Priority recommended","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_14800","措施落地情况说明","True","True","True","cf[14800]|措施落地情况说明","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_10201","成熟度等级State of maturity","True","True","True","cf[10201]|成熟度等级State of maturity","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_12501","问题解决依据","True","True","True","cf[12501]|问题解决依据","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_12500","是否为KeyPRD","True","True","True","cf[12500]|是否为KeyPRD","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_19002","申诉原因说明","True","True","True","cf[19002]|申诉原因说明","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_19003","申诉实际责任人","True","True","True","cf[19003]|申诉实际责任人","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"customfield_23900","PLM链接","True","True","True","cf[23900]|PLM链接","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"customfield_21200","安全点检表执行率(%)","True","True","True","cf[21200]|安全点检表执行率(%)","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"customfield_19004","是否需要申诉","True","True","True","cf[19004]|是否需要申诉","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_19005","申诉原因","True","True","True","cf[19005]|申诉原因","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"timespent","耗费时间","False","False","False","timespent","number",
"aggregatetimespent","Σ 耗费时间","False","False","False","","number",
"customfield_13700","应用所属产品线","True","True","True","cf[13700]|应用所属产品线","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_12601","适用市场","True","True","True","cf[12601]|适用市场","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_14900","评审结论","True","True","True","cf[14900]|评审结论","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_28000","集成任务类型","True","True","True","cf[28000]|集成任务类型","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"workratio","工作比率","False","False","True","workratio","number",
"customfield_20101","不符合项类别","True","True","True","cf[20101]|不符合项类别","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_22400","问题解决结果","True","True","True","cf[22400]|问题解决结果","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_20100","Notice方式","True","True","True","cf[20100]|Notice方式","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"customfield_10300","缺陷来源（HW）","True","True","True","cf[10300]|缺陷来源（HW）","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_12600","适用机芯/方案（外销）","True","True","True","cf[12600]|适用机芯/方案（外销）","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"customfield_11510","关联产品方案门类","True","True","True","cf[11510]|关联产品方案门类","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_11502","横向枚举场景/相关场景-废弃","True","True","True","cf[11502]|横向枚举场景/相关场景-废弃","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_13801","验证方法","True","True","True","cf[13801]|验证方法","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_13800","处置措施","True","True","True","cf[13800]|处置措施","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_11504","竞品分析","True","True","True","cf[11504]|竞品分析","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_11503","产品方案需求提炼","True","True","True","cf[11503]|产品方案需求提炼","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_13802","问题分析","True","True","True","cf[13802]|问题分析","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_11506","需求实现","True","True","True","cf[11506]|需求实现","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_11505","技术评估结果","True","True","True","cf[11505]|技术评估结果","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_11508","说明书类型","True","True","True","cf[11508]|说明书类型","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
